date,turbine_id,min_power_mw,max_power_mw,avg_power_mw,sample_count
2022-03-31,15,1.7,4.4,2.92,24
2022-03-14,6,1.7,4.4,3.24,24
2022-03-11,7,1.6,4.5,3.18,24
2022-03-18,7,1.6,4.4,3.02,24
2022-03-13,11,1.5,4.5,3.0,24
2022-03-08,2,1.6,4.4,3.08,24
2022-03-29,1,1.5,4.5,3.13,24
2022-03-10,10,1.5,4.5,3.04,24
2022-03-30,9,1.5,4.2,2.83,24
2022-03-19,2,1.5,4.4,2.79,24
2022-03-14,1,1.6,4.3,3.03,24
2022-03-31,1,1.6,4.3,2.96,24
2022-03-15,7,1.5,4.4,3.07,24
2022-03-14,15,1.6,4.1,2.66,24
2022-03-07,7,1.6,4.5,3.27,24
2022-03-29,14,1.6,4.5,2.88,24
2022-03-08,14,1.5,4.4,3.18,24
2022-03-18,11,1.7,4.5,3.01,24
2022-03-07,13,1.7,4.4,2.9,24
2022-03-26,8,1.6,4.3,2.85,24
2022-03-12,15,1.5,4.4,3.04,24
2022-03-13,7,1.6,4.5,2.72,24
2022-03-24,9,1.5,4.5,2.8,24
2022-03-22,8,1.6,4.4,2.82,24
2022-03-19,12,1.6,4.5,3.39,24
2022-03-12,8,1.8,4.2,3.12,24
2022-03-26,1,1.5,4.5,2.82,24
2022-03-01,5,1.7,4.5,3.08,24
2022-03-28,7,1.8,4.5,3.03,24
2022-03-18,8,1.5,4.4,2.92,24
2022-03-17,12,1.7,4.4,3.03,24
2022-03-29,2,1.5,4.3,3.04,24
2022-03-30,5,1.5,4.5,2.99,24
2022-03-26,9,1.5,4.5,3.22,24
2022-03-01,6,1.5,4.5,2.91,24
2022-03-04,6,1.8,4.5,3.17,24
2022-03-14,13,1.6,4.4,3.33,24
2022-03-07,3,1.5,4.3,2.81,24
2022-03-11,15,1.7,4.0,2.97,24
2022-03-29,8,1.5,4.4,2.87,24
2022-03-15,8,1.6,4.5,3.17,24
2022-03-27,1,1.7,4.4,3.1,24
2022-03-20,8,1.6,4.4,3.12,24
2022-03-01,11,1.5,4.4,2.74,24
2022-03-11,5,1.5,4.4,2.98,24
2022-03-31,3,1.5,4.3,2.88,24
2022-03-31,11,1.5,4.3,2.89,24
2022-03-30,3,1.6,4.5,2.79,24
2022-03-05,8,1.6,3.9,2.63,24
2022-03-26,4,1.5,4.4,2.47,24
2022-03-12,1,1.6,4.2,2.82,24
2022-03-23,5,1.6,4.5,2.93,24
2022-03-10,2,1.6,4.5,2.82,24
2022-03-16,15,1.5,4.4,3.03,24
2022-03-13,13,1.6,4.3,3.09,24
2022-03-08,7,1.8,4.4,2.96,24
2022-03-27,15,1.6,4.5,2.99,24
2022-03-28,5,1.6,4.5,3.0,24
2022-03-23,10,1.8,4.5,3.07,24
2022-03-21,14,1.6,4.5,3.33,24
2022-03-17,4,1.8,4.5,2.99,24
2022-03-31,7,1.6,4.3,2.77,24
2022-03-28,12,1.7,4.4,3.04,24
2022-03-10,9,1.5,4.3,2.99,24
2022-03-29,4,1.6,4.2,2.82,24
2022-03-10,12,1.6,4.5,3.34,24
2022-03-01,9,1.5,4.3,2.72,24
2022-03-27,9,1.5,4.3,3.23,24
2022-03-08,6,1.5,4.5,2.9,24
2022-03-25,7,1.9,4.4,3.22,24
2022-03-21,13,1.5,4.5,3.04,24
2022-03-09,14,1.9,4.3,3.16,24
2022-03-14,11,1.8,4.2,3.13,24
2022-03-04,7,1.5,4.3,3.01,24
2022-03-27,6,1.6,4.5,3.16,24
2022-03-08,9,1.6,4.4,3.05,24
2022-03-23,13,1.6,4.4,3.27,24
2022-03-22,4,1.9,4.5,3.21,24
2022-03-11,4,1.5,4.3,2.48,24
2022-03-23,1,1.7,4.4,3.23,24
2022-03-27,4,1.6,4.5,2.95,24
2022-03-31,5,1.5,4.2,2.94,24
2022-03-22,15,1.6,4.5,3.0,24
2022-03-14,2,1.5,4.1,3.02,24
2022-03-15,1,1.6,4.4,3.01,24
2022-03-11,12,1.6,4.4,2.9,24
2022-03-14,8,1.8,4.5,2.94,24
2022-03-20,1,1.6,3.8,2.72,24
2022-03-06,5,1.5,4.4,3.01,24
2022-03-13,8,1.5,4.5,3.1,24
2022-03-12,9,1.5,4.5,3.1,24
2022-03-20,3,1.7,4.5,2.96,24
2022-03-21,9,1.5,4.3,2.8,24
2022-03-25,12,1.7,4.5,3.23,24
2022-03-09,7,1.5,4.1,2.85,24
2022-03-17,3,1.5,4.4,3.25,24
2022-03-13,6,1.5,4.2,2.91,24
2022-03-05,14,1.5,4.3,2.81,24
2022-03-15,9,1.7,4.5,3.47,24
2022-03-25,3,1.8,4.5,3.04,24
2022-03-19,6,1.6,4.1,2.65,24
2022-03-23,14,1.5,4.5,2.96,24
2022-03-05,6,1.6,4.4,3.09,24
2022-03-28,9,1.6,4.2,2.83,24
2022-03-22,11,1.5,4.5,2.55,24
2022-03-30,15,1.5,4.3,2.8,24
2022-03-09,8,1.5,4.4,2.84,24
2022-03-07,12,1.6,4.3,3.0,24
2022-03-06,10,1.6,4.5,2.77,24
2022-03-17,7,1.6,4.4,2.89,24
2022-03-26,2,1.5,4.5,2.99,24
2022-03-19,4,1.5,4.4,2.76,24
2022-03-03,5,1.6,4.3,2.94,24
2022-03-23,8,1.6,4.5,3.17,24
2022-03-08,3,1.7,4.4,3.38,24
2022-03-02,11,1.8,4.5,3.23,24
2022-03-03,10,1.6,4.4,3.14,24
2022-03-22,6,1.7,4.3,3.17,24
2022-03-03,7,1.9,4.4,3.2,24
2022-03-07,9,1.7,4.4,3.05,24
2022-03-28,13,1.6,4.4,2.95,24
2022-03-12,3,1.6,4.3,3.07,24
2022-03-22,13,1.6,4.4,3.04,24
2022-03-27,3,1.6,4.4,2.84,24
2022-03-11,13,1.5,4.5,3.1,24
2022-03-02,1,1.9,4.5,3.24,24
2022-03-06,9,1.6,4.4,3.06,24
2022-03-22,12,1.6,4.4,3.2,24
2022-03-26,14,1.7,4.4,3.01,24
2022-03-18,12,1.8,4.4,3.05,24
2022-03-18,9,1.6,4.5,2.93,24
2022-03-28,10,1.5,4.5,3.23,24
2022-03-25,9,1.6,4.4,3.24,24
2022-03-06,3,1.7,4.4,3.3,24
2022-03-14,4,1.6,4.5,2.85,24
2022-03-16,12,1.6,4.3,3.18,24
2022-03-13,1,1.5,4.5,2.9,24
2022-03-24,1,1.6,4.3,2.98,24
2022-03-17,10,1.6,4.3,2.74,24
2022-03-05,9,1.5,4.5,3.09,24
2022-03-07,10,1.7,4.3,2.84,24
2022-03-25,6,1.7,4.4,3.08,24
2022-03-09,11,1.6,4.4,2.7,24
2022-03-12,10,1.6,4.5,2.93,24
2022-03-20,10,1.6,4.3,3.05,24
2022-03-13,10,1.6,4.4,2.85,24
2022-03-30,8,1.6,4.4,3.06,24
2022-03-12,4,1.5,4.5,2.89,24
2022-03-28,6,1.5,4.3,2.94,24
2022-03-06,8,1.5,4.4,2.92,24
2022-03-15,5,1.5,4.5,2.89,24
2022-03-21,12,1.5,4.5,3.18,24
2022-03-20,15,1.6,4.5,2.96,24
2022-03-05,11,1.7,4.4,2.84,24
2022-03-23,7,1.5,4.4,2.7,24
2022-03-27,8,1.6,4.1,2.95,24
2022-03-20,2,1.7,4.5,2.71,24
2022-03-02,15,1.8,3.9,3.0,24
2022-03-04,3,1.6,4.2,2.88,24
2022-03-02,12,1.6,4.4,2.98,24
2022-03-29,15,1.6,4.5,3.21,24
2022-03-03,8,1.6,4.5,3.07,24
2022-03-28,3,1.6,4.2,2.69,24
2022-03-10,13,1.5,4.0,2.9,24
2022-03-27,2,1.5,4.4,3.24,24
2022-03-11,9,1.6,4.4,3.15,24
2022-03-12,7,1.6,4.4,2.91,24
2022-03-01,4,1.5,4.4,3.02,24
2022-03-06,2,1.7,4.3,3.14,24
2022-03-24,8,1.5,4.3,2.9,24
2022-03-24,15,1.8,4.4,2.95,24
2022-03-25,5,1.9,4.5,3.16,24
2022-03-12,12,1.6,4.2,2.64,24
2022-03-13,14,1.6,4.4,3.08,24
2022-03-18,14,1.6,4.5,3.1,24
2022-03-09,5,1.7,4.4,3.07,24
2022-03-21,6,1.6,4.3,2.84,24
2022-03-19,1,1.8,4.5,3.13,24
2022-03-19,5,2.1,4.5,3.24,24
2022-03-13,12,1.7,4.5,2.89,24
2022-03-31,14,1.6,4.3,3.3,24
2022-03-01,3,1.6,4.5,2.77,24
2022-03-23,11,1.7,4.5,3.02,24
2022-03-21,3,1.5,4.4,3.34,24
2022-03-25,15,1.6,4.4,3.21,24
2022-03-27,5,1.6,4.5,3.0,24
2022-03-21,8,1.5,4.1,2.79,24
2022-03-16,13,1.7,4.4,3.08,24
2022-03-29,13,1.7,4.5,2.8,24
2022-03-19,9,2.1,4.4,3.28,24
2022-03-20,12,1.6,4.4,3.12,24
2022-03-05,3,1.6,4.5,2.62,24
2022-03-12,5,1.5,4.1,2.87,24
2022-03-01,1,1.6,4.4,2.98,24
2022-03-29,6,1.6,4.5,2.91,24
2022-03-30,10,1.7,4.4,3.03,24
2022-03-08,15,1.5,4.4,2.85,24
2022-03-26,7,1.6,4.3,3.2,24
2022-03-05,15,1.6,4.5,3.17,24
2022-03-07,4,1.5,4.4,2.98,24
2022-03-18,1,1.6,4.5,3.1,24
2022-03-16,6,1.6,4.5,2.88,24
2022-03-04,15,1.6,4.2,3.1,24
2022-03-03,14,1.6,4.3,2.87,24
2022-03-16,11,1.5,4.4,3.22,24
2022-03-05,12,1.6,4.5,3.28,24
2022-03-03,1,1.6,4.4,2.93,24
2022-03-23,12,1.5,4.4,3.0,24
2022-03-08,11,1.7,4.3,2.58,24
2022-03-17,15,1.5,4.4,3.1,24
2022-03-03,3,1.8,4.4,3.25,24
2022-03-19,11,1.6,4.2,2.79,24
2022-03-21,11,1.5,4.5,3.04,24
2022-03-25,1,1.5,4.4,3.07,24
2022-03-30,2,1.7,4.4,3.05,24
2022-03-12,14,1.6,4.2,3.1,24
2022-03-20,4,1.6,4.2,2.5,24
2022-03-22,1,1.6,4.2,2.81,24
2022-03-29,3,1.7,4.4,2.9,24
2022-03-13,15,1.6,4.4,3.08,24
2022-03-19,8,1.5,4.5,2.85,24
2022-03-30,4,1.6,4.4,3.11,24
2022-03-30,6,1.6,4.5,2.95,24
2022-03-28,15,1.7,4.3,3.12,24
2022-03-20,6,1.6,4.4,2.7,24
2022-03-24,10,1.5,4.4,3.16,24
2022-03-30,12,1.8,4.5,3.24,24
2022-03-04,8,1.5,4.1,2.53,24
2022-03-28,8,1.6,4.4,3.08,24
2022-03-16,5,1.8,4.3,3.08,24
2022-03-04,10,1.6,4.4,2.95,24
2022-03-09,12,1.6,4.2,2.9,24
2022-03-03,11,1.6,4.5,3.05,24
2022-03-03,12,1.7,4.2,2.67,24
2022-03-14,14,1.7,4.5,2.72,24
2022-03-01,8,1.6,4.4,3.02,24
2022-03-26,13,1.6,4.4,2.94,24
2022-03-06,7,1.6,4.4,2.92,24
2022-03-17,14,1.5,4.4,2.83,24
2022-03-10,7,1.7,4.3,3.03,24
2022-03-02,10,2.0,4.3,3.17,24
2022-03-08,5,2.1,4.5,3.28,24
2022-03-09,9,1.6,4.5,3.11,24
2022-03-07,2,1.7,4.4,3.0,24
2022-03-07,5,1.6,4.2,2.91,24
2022-03-29,5,1.6,4.3,3.23,24
2022-03-17,8,1.6,4.3,2.72,24
2022-03-27,11,1.6,4.3,2.95,24
2022-03-10,6,1.5,4.4,2.68,24
2022-03-10,14,1.6,4.1,2.86,24
2022-03-08,13,1.5,4.5,3.07,24
2022-03-18,5,1.5,4.2,2.91,24
2022-03-11,14,1.6,4.4,2.92,24
2022-03-11,8,1.7,4.4,3.23,24
2022-03-06,6,1.6,4.1,2.97,24
2022-03-14,9,1.5,4.3,2.68,24
2022-03-19,10,1.5,4.4,3.19,24
2022-03-26,11,1.6,4.5,3.35,24
2022-03-15,10,1.7,4.3,3.03,24
2022-03-22,3,1.6,4.5,2.98,24
2022-03-23,15,1.6,4.4,3.14,24
2022-03-18,10,1.9,4.3,3.14,24
2022-03-04,5,1.5,4.3,3.04,24
2022-03-15,2,1.5,4.5,3.11,24
2022-03-04,4,1.5,4.5,2.95,24
2022-03-04,12,1.6,4.2,2.73,24
2022-03-20,13,1.6,4.5,3.13,24
2022-03-07,8,1.5,4.4,2.94,24
2022-03-21,15,1.5,4.3,3.05,24
2022-03-01,12,1.6,4.5,3.16,24
2022-03-22,10,1.5,4.4,2.9,24
2022-03-28,14,1.5,4.2,2.94,24
2022-03-31,6,1.6,4.0,2.73,24
2022-03-07,14,1.8,4.4,3.1,24
2022-03-10,3,1.7,4.5,3.19,24
2022-03-06,15,1.5,4.5,3.1,24
2022-03-05,5,1.6,4.4,3.0,24
2022-03-19,7,1.5,4.5,3.25,24
2022-03-02,3,1.6,4.4,2.98,24
2022-03-09,2,1.5,4.4,2.96,24
2022-03-20,9,1.5,4.5,2.89,24
2022-03-25,14,1.5,4.4,2.9,24
2022-03-22,2,1.6,4.5,2.92,24
2022-03-19,3,1.8,4.5,3.13,24
2022-03-11,1,1.5,4.4,2.58,24
2022-03-31,10,1.6,4.3,2.7,24
2022-03-27,14,1.6,4.0,2.97,24
2022-03-06,11,1.5,4.5,2.94,24
2022-03-24,7,1.5,4.4,2.75,24
2022-03-18,4,1.6,4.5,2.95,24
2022-03-06,12,1.7,4.2,2.95,24
2022-03-13,4,1.5,4.5,2.92,24
2022-03-15,11,1.5,4.0,2.77,24
2022-03-13,5,1.5,4.5,2.98,24
2022-03-02,2,1.6,4.2,2.47,24
2022-03-03,4,1.8,4.3,3.05,24
2022-03-05,13,1.7,4.5,2.9,24
2022-03-26,12,1.6,4.5,3.02,24
2022-03-05,2,1.6,4.5,3.1,24
2022-03-21,4,1.6,4.5,2.95,24
2022-03-23,2,1.5,4.3,2.97,24
2022-03-17,2,1.5,4.5,2.88,24
2022-03-18,3,1.5,4.5,2.9,24
2022-03-02,8,1.7,4.4,2.85,24
2022-03-29,7,1.5,4.4,3.01,24
2022-03-25,2,1.6,4.3,2.72,24
2022-03-16,10,1.5,4.5,3.06,24
2022-03-21,7,1.6,4.4,2.99,24
2022-03-06,13,1.6,4.1,2.92,24
2022-03-12,6,1.5,4.4,3.02,24
2022-03-09,1,1.5,4.5,2.84,24
2022-03-31,8,1.7,4.4,3.4,24
2022-03-14,5,1.6,4.5,2.99,24
2022-03-09,10,1.7,4.3,2.89,24
2022-03-16,9,1.7,4.0,2.98,24
2022-03-12,11,2.0,4.5,3.22,24
2022-03-01,10,1.5,4.5,3.13,24
